unique_code|path|name|res_id|res_model|create_date|create_user|comments
1|/home/odoo_files/Customers/100004|INDIBA_SA (2019).pdf|100004|res_partner|2021-04-14|Alex Medialdea|INFORME AXESOR CCAA 2019
2|/home/odoo_files/Customers/100004|INDIBA SAU.pdf|100004|res_partner|2021-04-15|Alex Medialdea|SOLICITUD DE CRÉDITO
3|/home/odoo_files/Customers/100008|DISENOS_ELECTRONICOS_E_INFORMATICOS_PRODIMAR_SL.pdf|100008|res_partner|2014-05-16|Cristina Torres|informe axesor 16/05/14
4|/home/odoo_files/Customers/100008|DISENOS_ELECTRONICOS_E_INFORMATICOS_PRODIMAR_SL-2013.pdf|100008|res_partner|2014-10-28|Cristina Torres|informe axesor ccaa 2013
5|/home/odoo_files/Customers/100008|Prodimar_QUECTEL Mar 2017.pdf|100008|res_partner|2014-10-28|OdooBot|NDA con QUECTEL
6|/home/odoo_files/Customers/100008|Prodimar_QUECTEL Mar 2017.pdf|100008|res_partner|2017-03-07|OdooBot|NDA con QUECTEL
7|/home/odoo_files/Customers/100008|DISEOSELECTRONICOSEINFORMATICOSPRODIMARSL.pdf|100008|res_partner|2018-05-18|Cristina Torres|INFORME AXESOR CCAA 2016
8|/home/odoo_files/Customers/100008|PRODIMAR NDA 2019.pdf|100008|res_partner|2019-07-02|Elisabet Villa|NDA con MONOLITIC 2019 2022 mínimo
9|/home/odoo_files/Customers/100009|GRUPO CIRSA.pdf|100009|res_partner|2014-06-05|Cristina Torres|Datos financieros relativos a Grupo Cirsa comentados
10|/home/odoo_files/Customers/100009|UNIVERSALDEDESARROLLOSELECTRONICOSSA.pdf|100009|res_partner|2020-04-22|Alex Medialdea|informe axesor ccaa 2018
11|/home/odoo_files/Customers/100014|Póliza 0502213239 _ ID 0001281874 _ ZIV COMMUNICATI _ Referencia  _ País  ES _ IDS 0514544233 _ OGPWI.pdf|100014|res_partner|2016-02-22|Cristina Torres|adelanto clavemap
12|/home/odoo_files/Customers/100027|E2M.pdf|100027|res_partner|2018-11-22|Núria Soler|APERTURA DE CUENTA
13|/home/odoo_files/Customers/100027|ESTUDIS ELECTRO MECANICS (E2M).pdf|100027|res_partner|2018-11-22|Alex Medialdea|SOLICITUD DE CRÉDITO
14|/home/odoo_files/Customers/100027|ESTUDISELECTROMECANICSSL.pdf|100027|res_partner|2018-11-22|Alex Medialdea|INFORME AXESOR CCAA 2017
15|/home/odoo_files/Customers/100027|ESTUDISELECTROMECANICSSL 2018.pdf|100027|res_partner|2019-10-22|Alex Medialdea|INFORME AXESOR CCAA 2018
16|/home/odoo_files/Customers/100032|GOLMAR_SISTEMAS_DE_COMUNICACION_SA.pdf|100032|res_partner|2016-07-26|María Rey|informe Axesor
17|/home/odoo_files/Customers/100032|Golmar.pdf|100032|res_partner|2016-07-26|María Rey|Sol de credito
18|/home/odoo_files/Customers/100034|GIRBAU_SA (2018).pdf|100034|res_partner|2020-10-26|Alex Medialdea|INFORME AXESOR CCAA 2018
19|/home/odoo_files/Customers/100047|ATC.pdf|100047|res_partner|2016-06-09|Núria Soler|apertura
20|/home/odoo_files/Customers/100067|100067 INTERMEDIC.pdf|100067|res_partner|2021-06-15|Cristina Torres|SOLICITUD CRÉDITO
21|/home/odoo_files/Customers/100068|AVRYDE_2000_SL.pdf|100068|res_partner|2015-02-17|Cristina Torres|informe axesor ccaa 2013
22|/home/odoo_files/Customers/100097|SISTEL_SA.pdf|100097|res_partner|2015-05-14|Cristina Torres|informe axesor ccaa 2013
23|/home/odoo_files/Customers/100097|SISTEL_SA_2015.pdf|100097|res_partner|2016-03-03|María Rey|informe Axesor 2015
24|/home/odoo_files/Customers/100106|SUGAR_VALLEY_SL.pdf|100106|res_partner|2014-08-28|Cristina Torres|INFORME AXESOR actualizado 2013
25|/home/odoo_files/Customers/100106|SUGAR_VALLEY_SL_2015.pdf|100106|res_partner|2015-12-22|María Rey|Informe Axesor 2015
26|/home/odoo_files/Customers/100111|MASER.pdf|100111|res_partner|2018-07-24|Cristina Torres|SOLICITUD CRÉDITO
27|/home/odoo_files/Customers/100123|DISELEC_ELECTRONICA_SL.pdf|100123|res_partner|2014-12-22|OdooBot|Informe Asexor ccaa 2013
28|/home/odoo_files/Customers/100123|DISELEC_ELECTRONICA_SL_2016.pdf|100123|res_partner|2016-09-26|María Rey|Informe Axesor
29|/home/odoo_files/Customers/100133|INDUSTRIAS_ROYAL_TERMIC_SL.pdf|100133|res_partner|2017-12-29|María Rey|Sol credito
30|/home/odoo_files/Customers/100133|INDUSTRIAS_ROYAL_TERMIC_SL.pdf|100133|res_partner|2017-12-29|María Rey|informe axesor
31|/home/odoo_files/Customers/100138|INFORME_MERCANTIL_GH_ELECTROTERMIA_SA_2020-05-25.pdf|100138|res_partner|2020-05-25|Alex Medialdea|INFORME AXESOR CCAA 2018
32|/home/odoo_files/Customers/100143|LDAAUDIOYVIDEOPROFESIONALSL.pdf|100143|res_partner|2018-11-29|Alex Medialdea|INFORME AXESOR CCAA 2017
33|/home/odoo_files/Customers/100148|REKOBA_ESPANOLA_SL.pdf|100148|res_partner|2016-01-19|Cristina Torres|INFORME AXESOR CCAA 2014
34|/home/odoo_files/Customers/100148|REKOBAESPAOLASL.pdf|100148|res_partner|2018-08-24|Cristina Torres|INFORME AXESOR CCAA 2015
35|/home/odoo_files/Customers/100148|Rekoba Española sl.pdf|100148|res_partner|2021-12-01|Alex Medialdea|SOLICITUD DE CRÉDITO
36|/home/odoo_files/Customers/100158|NDA TALGO.pdf|100158|res_partner|2021-03-16|Elisabet Villa|NDA PATENTES TALGO- MONOLITIC 2011-2021
37|/home/odoo_files/Customers/100168|GRUPO_EPELSA_SL.pdf|100168|res_partner|2015-02-12|Cristina Torres|informe axesor ccaa 2013
38|/home/odoo_files/Customers/100168|grupo_epelsa2_sl.pdf|100168|res_partner|2017-01-18|Cristina Torres|informe axesor ccaa 2015
39|/home/odoo_files/Customers/100187|DEZAC LOGIN Y PASWORD INTRANET CLIENTE.msg|100187|res_partner|2014-07-08|Núria Soler|datos para entrar en su intranet para gestionar pedidos
40|/home/odoo_files/Customers/100187|dezac politica general.pdf|100187|res_partner|2018-06-11|Núria Soler|POLITICA GENERAL
41|/home/odoo_files/Customers/100187|DEZAC CUESTIONARIO EVALUACION PROVEEDOR.pdf|100187|res_partner|2018-06-11|Núria Soler|CUESTIONARIO EVALUACION PROVEEDORES
42|/home/odoo_files/Customers/100197|GMV Acuerdo préstamo equipo PD 01296 25-10-2016.pdf|100197|res_partner|2016-10-27|OdooBot|Anexo al Depósito nº PD 01296 de Préstamo de equipo
43|/home/odoo_files/Customers/100200|BROAD TELECOM SA.pdf|100200|res_partner|2021-04-09|Alex Medialdea|SOLICITUD DE CRÉDITO
44|/home/odoo_files/Customers/100209|POWER_ELECTRONICS_ESPANA_SL.pdf|100209|res_partner|2014-09-23|Cristina Torres|informe axesor 2013
45|/home/odoo_files/Customers/100209|POWER ELECTRONICS ESPAÑA SL NDA.pdf|100209|res_partner|2018-10-25|Elisabet Villa|NDA 19 10 2018
46|/home/odoo_files/Customers/100209|POWERELECTRONICSESPAASL.pdf|100209|res_partner|2018-12-11|Alex Medialdea|Informe Axesor 2017
47|/home/odoo_files/Customers/100216|RGPD SERVITRON.pdf|100216|res_partner|||FIRMA RGPD SERVITRON
48|/home/odoo_files/Customers/100216|SERVITRONSA.pdf|100216|res_partner|2019-11-19|Alex Medialdea|INFORME AXESOR CCAA 2018
