code|product_tmpl|product_qty|product_comp|comp_qty|type|create_date|create_user
Original|36517/01879|1|TOUCH-RES-185/GTOUCH|1|normal|2016-09-02|Xavier Andiñach
Original|36517/01879|1|PM6202B-CW5|1|normal|2016-09-02|Xavier Andiñach
Original|36517/01879|1|CINTA-ADHESIVA-DC/2MM|1|normal|2016-09-02|Xavier Andiñach
Original|36517/01879|1|CABLE-TOUCH5W-PM6202B/20|1|normal|2016-09-02|Xavier Andiñach
Original|36517/01879|1|CABLE-PM6202B-GENECV05/15|1|normal|2016-09-02|Xavier Andiñach
Original|ACTUALIZACION CHASIS ALVIC|1|SOPORTE-DOBLE-VENTILADOR|2|normal|2015-03-05|Núria Soler
Original|ACTUALIZACION CHASIS ALVIC|1|CABLE-ALIM-12VDCAFUEL/4FAN|1|normal|2015-03-05|Núria Soler
Original|ACTUALIZACION CHASIS ALVIC|1|910179|4|normal|2015-03-05|Núria Soler
Revisión R01|ACTUALIZACION CHASIS ALVIC/R01|1|SOPORTE-VENTILADOR-AUTOFUEL|2|normal|2015-03-17|Miguel Barajas
Revisión R01|ACTUALIZACION CHASIS ALVIC/R01|1|CABLE-ALIM-12VDCAFUEL/4FAN|1|normal|2015-03-17|Miguel Barajas
Revisión R01|ACTUALIZACION CHASIS ALVIC/R01|1|910179|4|normal|2015-03-17|Miguel Barajas
Original|ADAPTADOR-MIOT-4G-FRPI|1|MINIPCI-E-TO-USB|1|normal|2018-05-14|Jordi Gutiérrez
Original|ADAPTADOR-MIOT-4G-FRPI|1|EC21EFA-MINIPCIE|1|normal|2018-05-14|Jordi Gutiérrez
Original|ADAPTADOR-MIOT-4G-FRPI|1|CU12|1|normal|2018-05-14|Jordi Gutiérrez
Original|ADAPTADOR-MIOT-4G-FRPI|1|LCBSB6|4|normal|2018-05-14|Jordi Gutiérrez
Original|ADAPTADOR-MIOT-4G-FRPI|1|C485G-010/113-UFL|1|normal|2018-05-14|Jordi Gutiérrez
Original|ADAPTADOR-MIOT-4G-FRPI|1|2JW0124-C868B|1|normal|2018-05-14|Jordi Gutiérrez
