"product_id"|"name"|"workcenter_id"|"time_cycle_manual"|"note"
"36517/01879"|"Reparación"|"Área de Reparación"|"1,5"|"Reparacion equipo industrial"
"ACTUALIZACION CHASIS ALVIC"|"Reparación"|"Área de Reparación"|"1"|"Reparacion equipo industrial"
"ACTUALIZACION CHASIS ALVIC/R01"|"Reparación"|"Área de Reparación"|"1"|"Reparacion equipo industrial"
"CCMONET12GBPT-USACANADA"|"Montaje"|"Área de Montaje"|"0,25"|"Ensamblado equipo industrial"
"CCMONET12GBPT-USACANADA"|"Soporte técnico"|"Área de Soporte técnico"|"0,75"|"Ensamblado equipo industrial"
"CCMONET1GBPT-Z1"|"Soporte técnico"|"Área de Soporte técnico"|"1"|"Servicio soporte productos iot"
"CCMONET1GBPT-Z2"|"Soporte técnico"|"Área de Soporte técnico"|"1"|"Servicio soporte productos iot"
"CCMONET72GBPT-USACANADA"|"Montaje"|"Área de Montaje"|"0,25"|"Ensamblado equipo industrial"
"CCMONET72GBPT-USACANADA"|"Soporte técnico"|"Área de Soporte técnico"|"0,75"|"Ensamblado equipo industrial"
"CCMOU65NET12GBPT-Z1"|"Montaje"|"Área de Montaje"|"0,25"|"Ensamblado equipo industrial"
"CCMOU65NET12GBPT-Z1"|"Soporte técnico"|"Área de Soporte técnico"|"0,25"|"Ensamblado equipo industrial"
"CCMOU65NET6GBPT-Z1"|"Montaje"|"Área de Montaje"|"0,25"|"Ensamblado equipo industrial"
"CCMOU65NET6GBPT-Z1"|"Soporte técnico"|"Área de Soporte técnico"|"0,25"|"Ensamblado equipo industrial"
"CGS0124-LWSM_5M107"|"Montaje"|"Área de Montaje"|"0,75"|"Ensamblado equipo industrial"
"CGS0124-LWSM_5M107"|"Montaje"|"Área de Montaje"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_5M107"|"Soporte técnico"|"Área de Soporte técnico"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_5M300TH"|"Montaje"|"Área de Montaje"|"0,75"|"Ensamblado equipo industrial"
"CGS0124-LWSM_5M300TH"|"Montaje"|"Área de Montaje"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_5M300TH"|"Soporte técnico"|"Área de Soporte técnico"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_LITE"|"Montaje"|"Área de Montaje"|"0,75"|"Ensamblado equipo industrial"
"CGS0124-LWSM_LITE"|"Montaje"|"Área de Montaje"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_LITE"|"Soporte técnico"|"Área de Soporte técnico"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_PRO"|"Montaje"|"Área de Montaje"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_PRO"|"Montaje"|"Área de Montaje"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_PRO"|"Montaje"|"Área de Montaje"|"1"|"Ensamblado equipo industrial"
"CGS0124-LWSM_PRO"|"Montaje"|"Área de Montaje"|"12"|"Ensamblado equipo industrial"
"CGS0124-LWSM_PRO"|"Soporte técnico"|"Área de Soporte técnico"|"2"|"Ensamblado equipo industrial"
