code;name;planned_revenue;probability;partner_id;agent_id;team_id;date_deadline;priority;tag_id;campaign_id;medium_id;partner_name;street;street2;zip;city;state_id;country_id;phone;mobile;email_from;website;contact_name;description;type
OPPN-00001;MALETIN DOMOTICO (Equipos audio y domotica);7.702,29;;101729;V-APOVEDA;;01/01/2019;;;;;;;;;;;;;;;;;;opportunity
OPPN-00002;DSC (Maritimo);3.300;;101963;V-BNC-NORT;;05/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00003;MALETIN DOMOTICO (Equipos audio y domotica);0;;101729;V-APOVEDA;;20/11/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00004;DSC (Maritimo);6.950;;102088;V-BNC-NORT;;04/11/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00005;BUS TURÍSTICO (INGENIERIA);0;;100841;V-XAND;;01/01/2012;;;;;;;;;;;;;;;;;;opportunity
OPPN-00006;Modulo centralita  para Alarmas Técnicas (Domotica);1.175;;100202;V-BNC-NOR2;;25/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00007;VEHICLE TRACKING (TICKETING/AUTOBUSES);0;;101703;V-XAND-AR;;10/02/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00008;SENSOR GAS PARKINGS (DECTECTOR CO);74.550;;101612;V-JCVAZ;;08/02/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00009;Transmisor AIS SART;6.900;;102088;V-BNC-NORT;;04/11/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00010;Gestion de Flotas (Automocion);10.000;;101918;V-DMART;;20/02/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00011;Gestion de Flotas (Automocion);7.000;;101918;V-DMART;;13/06/2012;;;;;;;;;;;;;;;;;;opportunity
OPPN-00012;POSICIONAMIENTP (TELECOMUNICACIONES);51.700;;140008;V-XAND-AR;;16/12/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00013;TELEMETRY&TELECONTROL (RENOVABLES/AEROGENERADORES);5.000;;101769;V-XAND-AR;;15/06/2012;;;;;;;;;;;;;;;;;;opportunity
OPPN-00014;Gestion  (Automocion);2.000;;102186;V-DMART;;19/06/2012;;;;;;;;;;;;;;;;;;opportunity
OPPN-00015;Explotacion y gestion datos. Proyecto: Gateway (Vending);26.450;;120053;V-DMART;;16/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00016;Explotacion y gestion datos 2G;14.520;;120053;V-DMART;;04/07/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00017;AIS (Maritimo);3.320;;101963;V-BNC-NORT;;05/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00018;Chaleco Salvavidas (Maritimo);1.790;;101963;V-BNC-NORT;;28/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00019;Buck para Banda Ka 40W y 60W (Telecomunicaciones Satelite);0;;101188;V-BNC-NOR2;;11/10/2012;;;;;;;;;;;;;;;;;;opportunity
OPPN-00020;Buck para Banda Ka (Telecomunicaciones Satelite);0;;101188;V-BNC-NOR2;;11/09/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00021;Control de bocas de riego (La Coruña) - CENTINEL;2.330;;101983;V-DMART;;28/11/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00022;INTERCONEXIONADO MAQUINAS TIPO B (RECREATIVO);0;;102414;V-BNC-ESTE;;21/09/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00023;Alimentación para  Transductor, pasar parámetros Analógicos a Digitales para enviar a un servidor. (Automocion);1.755;;101730;V-BNC-NORT;;13/02/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00024;INTERCONEXIONADO MAQUINAS TIPO B (RECREATIVO);0;;100009;V-JCVAZ;;07/09/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00025;"Visualizador - Lavadora Indistrial TFT 4,3""";47.250;;101059;V-DMART;;10/11/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00026;AIS para Chaleco Salvavidas (Maritimo);3.320;;101963;V-BNC-NORT;;14/01/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00027;Desfibriladores (Electromedicina);3.480;;120003;V-IGAR;;13/02/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00028;Desfibriladores (Electromedicina);3.000;;120003;V-IGAR;;11/09/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00029;COMUNICA RADIO (BROAD);6.000;;110196;V-MFER;;23/01/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00030;ONERA: Deteccion de Basura Espacial (Telecomunicaciones Satelite);140.100;;101433;V-DMART;;05/06/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00031;Alimentacion  Tablet para  Gestion de flotas (Automocion);2.925;;101918;V-DMART;;04/04/2018;;;;;;;;;;;;;;;;;;opportunity
OPPN-00032;Conversor de SAT a TDT (Cabeceras) (Broadcasting);15.000;;120012;V-BNC-NORT;;01/05/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00033;Conversor de SAT a TDT (Cabeceras) (Broadcasting);10.000;;120012;V-BNC-NORT;;20/02/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00034;Conversor de SAT a TDT (Cabeceras) (Broadcasting);4.000;;120012;V-BNC-NORT;;20/02/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00035;Conversor de SAT a TDT (Cabeceras) (Broadcasting);10.000;;120012;V-BNC-NORT;;20/02/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00036;Proteccion y Control (Energia);4.040;;101616;V-BNC-NORT;;15/03/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00037;"Display Cabina 5"" (Ascensores) y para dintel en planta.";44.000;;120011;V-DMART;;27/03/2018;;;;;;;;;;;;;;;;;;opportunity
OPPN-00038;INFORMACION PASAJERO (TRAFICO Y TRANSPORTES);45.000;;110574;V-MFER;;20/03/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00039;PLC COMMUNIC ATIONS CONTROLLER (CONTROL ENERGÍA);4.800;;100014;V-RIP;;05/03/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00040;FABRICACIÓN  NUEVAS MAQUINAS B (RECREATIVO);61.340;;100009;V-JCVAZ;;07/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00041;INTERCONEXIONADO MAQUINAS TIPO B (RECREATIVO);26.000;;100009;V-JCVAZ;;07/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00042;Deteccion de Basura Espacial (Telecomunicaciones Satelite)  BUCK  Banda  Ka 10W;2.855;;101433;V-DMART;;06/03/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00043;Deteccion de Basura Espacial (Telecomunicaciones Satelite)  BUCK  Banda  Ka 10W;1.000;;101433;V-DMART;;04/04/2013;;;;;;;;;;;;;;;;;;opportunity
