"unique_code"|"subject"|"date"|"author_id"|"res_id"|"res_model"|"message_type"|"body"
"0"|"Cliente"|"2021-09-09 00:00:00"|"Alex Medialdea"|"100009"|"res.partner"|"comment"|"solicitamos 3k de cobertura primaria para quitar el interno, pero lo rechazan. "
"1"|"Cliente"|"2021-06-14 00:00:00"|"Alex Medialdea"|"100067"|"res.partner"|"comment"|"solicitamos cobertura 6k para nuevo pedido. "
"2"|"Cliente"|"2021-07-06 00:00:00"|"Núria Soler"|"100392"|"res.partner"|"comment"|"Cerrados por vacaciones del 09/08 al 29/08 de 2021 "
"3"|"Cliente"|"2021-11-22 00:00:00"|"Cristina Torres"|"100572"|"res.partner"|"comment"|"REDUCCIÓN DEL LÍMITE DE 15K° A 6K° "
"4"|"Cliente"|"2021-11-24 00:00:00"|"Alex Medialdea"|"100604"|"res.partner"|"comment"|"consultamos la previsión, y tenemos suficiente con la cobertura primaria de 30k, así que damos de baja el CAP de 30k. "
"5"|"Cliente"|"2021-11-26 00:00:00"|"Núria Soler"|"100631"|"res.partner"|"comment"|"cerrados por inventario del 20 de diciembre al 31 de diciembre "
"6"|"Cliente"|"2021-11-24 00:00:00"|"Alex Medialdea"|"100748"|"res.partner"|"comment"|"tras consultarlo con el comercial (DRUEDA), retiramos CAP+ 10k. "
"7"|"Cliente"|"2021-06-08 00:00:00"|"Cristina Torres"|"100893"|"res.partner"|"comment"|"cambiamos forma de p a tr porque vemos que hacen transferencia hace meses "
"8"|"Cliente"|"2021-08-06 00:00:00"|"Cristina Torres"|"101067"|"res.partner"|"comment"|"REDUCEN COBERTURA PRIMARIA DE 43K° A 13K° (MANTIENEN CAP 30K°) "
"9"|"Cliente"|"2021-08-22 00:00:00"|"Alex Medialdea"|"101067"|"res.partner"|"comment"|"REDUCEN CAP DE 30K A 10K, QUEDANDO UNA COBERTURA TOTAL DE 23K (13K+10K). "
"10"|"Cliente"|"2021-07-14 00:00:00"|"Núria Soler"|"101181"|"res.partner"|"comment"|"Almacen cerrado del 23 al 27 de agosto "
"11"|"Cliente"|"2021-07-22 00:00:00"|"Cristina Torres"|"101219"|"res.partner"|"comment"|"cambiamos vcto para FV21/2468-2470 hasta enero22 por error con el cliente "
"12"|"Cliente"|"2021-10-19 00:00:00"|"Alex Medialdea"|"101237"|"res.partner"|"comment"|"solicitamos 3k de cobertura primaria, que nos conceden. "
"13"|"Cliente"|"2021-10-13 00:00:00"|"Alex Medialdea"|"101261"|"res.partner"|"comment"|"retiran cobertura por cese de la actividad. "
"14"|"Cliente"|"2021-09-15 00:00:00"|"Alex Medialdea"|"101410"|"res.partner"|"comment"|"revisamos cartera de pedidos a 15.09 y vemos que con una cobertura de 50k podríamos cubrirla. Solicitamos aumentar la primaria de 40k a 50k. Si nos la conceden, eliminariamos CAP 25k. nos conceden los 50k de primaria, así que cancelamos 25k de CAP. "
"15"|"Cliente"|"2021-10-05 00:00:00"|"Cristina Torres"|"101433"|"res.partner"|"comment"|"aumento concedido con 70k° temporales hasta 30/11 "
