name|parent_id|complete_name
INDUSTRIA MANUFACTURERA||INDUSTRIA MANUFACTURERA
INDUSTRIA TEXTIL|INDUSTRIA MANUFACTURERA|INDUSTRIA MANUFACTURERA / INDUSTRIA TEXTIL
ACABADO DE TEXTILES|INDUSTRIA MANUFACTURERA / INDUSTRIA TEXTIL|INDUSTRIA MANUFACTURERA / INDUSTRIA TEXTIL / ACABADO DE TEXTILES
ACABADO DE TEXTILES|INDUSTRIA MANUFACTURERA / INDUSTRIA TEXTIL / ACABADO DE TEXTILES|INDUSTRIA MANUFACTURERA / INDUSTRIA TEXTIL / ACABADO DE TEXTILES / ACABADO DE TEXTILES
TRANSPORTE Y ALMACENAMIENTO||TRANSPORTE Y ALMACENAMIENTO
ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE|TRANSPORTE Y ALMACENAMIENTO|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE
ACTIVIDADES ANEXAS AL TRANSPORTE|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE
ACTIVIDADES ANEXAS AL TRANSPORTE AÉREO|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE AÉREO
ACTIVIDADES ANEXAS AL TRANSPORTE MARÍTIMO Y POR VÍAS NAVEGABLES INTERIORES|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE MARÍTIMO Y POR VÍAS NAVEGABLES INTERIORES
ACTIVIDADES ANEXAS AL TRANSPORTE TERRESTRE|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE|TRANSPORTE Y ALMACENAMIENTO / ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE / ACTIVIDADES ANEXAS AL TRANSPORTE TERRESTRE
EDUCACIÓN||EDUCACIÓN
EDUCACIÓN|EDUCACIÓN|EDUCACIÓN / EDUCACIÓN
ACTIVIDADES AUXILIARES A LA EDUCACIÓN|EDUCACIÓN / EDUCACIÓN|EDUCACIÓN / EDUCACIÓN / ACTIVIDADES AUXILIARES A LA EDUCACIÓN
ACTIVIDADES AUXILIARES A LA EDUCACIÓN|EDUCACIÓN / EDUCACIÓN / ACTIVIDADES AUXILIARES A LA EDUCACIÓN|EDUCACIÓN / EDUCACIÓN / ACTIVIDADES AUXILIARES A LA EDUCACIÓN / ACTIVIDADES AUXILIARES A LA EDUCACIÓN
ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI||ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI
ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS
ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS / ACTIVIDADES DE CREACIÓN, ARTÍSTICAS Y ESPECTÁCULOS
