name|product_tmpl_id|product_name|product_code
100445|#1N4004-T+A||RH-DX0570BMZZ*
100445|#1N4005-T+A||RH-DX0571BMZZ*
100789|#1N4005-T+A||3047
100002|#1N4007-T+A||4CD01004007
100143|#1N4007-T+A||D13014007
100454|#1N4007-T+A||DRS4003
100495|#1N4007-T+A||4CD01004007
100499|#1N4007-T+A||4CD01004007
100561|#1N4007-T+A||644013
100562|#1N4007-T+A||644013
100714|#1N4007-T+A||J44013
101012|#1N4007-T+A||DIO1N4007
104035|#1N4007-T+A||4CD01004007
110397|#1N4007-T+A||AB000001
110473|#1N4007-T+A||DIODO 1N4007
110490|#1N4007-T+A||8696
120334|#1N4007-T+A||4CD01004007
140032|#1N4007-T+A||841400701
100561|#1N4148-T+A||644014
100988|#1N4148-T+A||90501202
110366|#1N4148-T+A||1D25N4148
110397|#1N4148-T+A||AB000002
100445|#1N4934-T+A||RH-DX0576BMZZ*
100445|#1N4935-T+A||RH-DX0577BMZZ*
100445|#1N4936-T+A||RH-DX0578BMZZ*
100445|#1N4937-T+A||RH-DX0579BMZZ*
100445|#1N5819-T+A||RH-DX0574BMZZ*
100631|#BR101||D-PFB/8-OBS
110279|#BR101||D-PFB/8
100631|#BR104||D-PFB/8-OBS
110279|#BR104||D-PFB/8
100143|#BR610||DI6060068
110519|#BR610||DI6060068
110436|#DB104-S||S328015
110436|#DB107||329500
110473|#DB107||PUENTE B250/DF04 CUADRADO
100006|#FR307-T+A||50301020
100168|#FR307-T+A||194001002
100143|#LL4148-T+R||DI0004148
110459|#LL4148-T+R||300148
110436|#MB10S||S328018
100469|#MB156-W||EL2111506
100768|#MB156-W||EL2111506
110472|#MB156-W||C071310009
101826|#MB2510||31304
110448|#MB2510||31304
100143|#MB2510-W||DI6350356
100469|#MB2510-W||EL2111506
100768|#MB2510-W||EL2111506
100631|#MB254-S||D-PFB/25
110279|#MB254-S||D-PFB/25
100143|#MB254-W||DI6350356
100593|#MB254-W||411229/00
110436|#MB254-W||329601
101826|#MB3510||34411
110356|#MB3510||KBPC3510
110448|#MB3510||31304
110220|#MB358-S||AESDPFB2506
100244|#R1500F||35246
100572|#R1500F||202343
100631|#RC204||D-RC204
100445|#RGP15D||RH-DX0603BMZZ*
100445|#RGP15J-T+A||RH-DX0561BMZZ*
100445|#RGP30MT||RH-DX0302BMZZ*
100014|#RL255-T+A||4CD01170001
100495|#RL255-T+A||4CD01170001
100499|#RL255-T+A||4CD01170001
104035|#RL255-T+A||4CD01170001
120334|#RL255-T+A||4CD01170001
100121|#RS404L||194002010
100168|#RS404L||194002010
100412|#RS404L||INTEG070V
100800|#RS404L||32504
100974|#RS404L||194002010
110436|#RS404L||329599
110477|#RS404L||064,500,011
100244|#RS606||24323
100244|#RS807||24323
100572|#RS807||202388
110436|#RS807||329600
110473|#RS807||PUENTE RECTIFICADOR RS606/KBU6
100445|#SF26-M18||RH-DX0643BMZZ
100445|#SF26-T+A||RH-DX0643BMZZ*
110459|#SF84||302008
100631|#SR160-T+A||D-S160
100631|#SR360-T+A||D-S360
100631|#SS14-T-R||WDS160
100615|/1.5KE180C-T/A||15181016
100615|/1.5KE18-T/A||15182018
100615|/1.5KE33-T/A||15182033
100615|/1.5KE62A-T/A||15182062
100615|/1.5KE8.2-T/A||15182008
100168|/1N4007-T/A||94001008
100562|/1N4007-T/A||644013
100714|/1N4007-T/A||J44013
100974|/1N4007-T/A||94001008
110466|/1N4007-T/A||30014100001
110343|/FR206-T/A||128ED20E
110477|/KBL06||64500006
100143|/KBPC2504W||DI6350356
100022|/KBPC604||VH448
100022|/KBPC608||VH448
100469|/KBPC810||EL2111810
100768|/KBPC810||EL2111810
100168|/RS506||90502003
100198|/RS506||DIPRC3700
100988|/RS506||90502003
110436|/RS506||329201
110594|/RS506||1703200540
100198|/RS506-ROHS||DIPRC3700
110438|/SA12A-T/A||ELD30010
110436|/SA15CA-T/A||302114
110438|/SA15CA-T/A||ELD30046
110438|/SA5.0CA-T/A||ELD30032
110279|/SR160-T/A||D-S160
100631|/SR360-T/A||D-S360
110490|/SS14-T/R||9915
100469|/W06M||EL2111155
100768|/W06M||EL2111155
100893|/W06M||4184
101012|/W06M||DIOB250C1000
110436|/W06M||328010
110477|/W06M||64500002
110491|/W06M||9116/003
130062|/W06M||573
100615|+1.5KE180-T+A||15182180
100615|+1.5KE18C-T+A||15181018
100168|+1N5408-T+A||194001002
100631|+1N5408-T+A||D-BY251
100974|+1N5408-T+A||194001002
110277|+1N5408-T+A||P01DS0000006
110279|+1N5408-T+A||D-BY251
110594|+1N5408-T+A||1703000800
100469|+1N5819-T+A||EL2113819
100768|+1N5819-T+A||EL2113819
130031|+1N5819-T+A||21121015
110436|+DF04S-TUBE||S328015
110397|+GS1M-ROHS-T+R||AB000079
110490|+GS1M-ROHS-T+R||8696
110520|+GS1M-ROHS-T+R||P25404004
100469|+KBPC1506W||EL2111506
100768|+KBPC1506W||EL2111506
110438|+SA12CA-T+A||ELD30056
110436|+SA15A-T+A||302106
110438|+SA24A-T+A||ELD30016
110438|+SA30CA-T+A||ELD30026
110436|+SA5.0A-T+A||302105
110438|+SA5.0A-T+A||ELD30022
100932|002-91311024||296684450
103753|003R-00086||17871
101525|003R-00252||25940
100960|0251.250MRT1L||VAF006
100911|3040004||145000
100753|3100005||62301979
110438|65966||1001116762
110397|93275||BC000142
100495|1,8432MHZ||4CV01110004
100499|1,8432MHZ||4CV01110004
100593|1,8432MHZ||561181/00
103605|1,8432MHZ||A3670P5
104035|1,8432MHZ||4CV01110004
120015|1,8432MHZ||A3670P5
120334|1,8432MHZ||4CV01110004
100197|100GBHD2.5/HT/VEH||P5299
110574|10143SC*B||1108300327050
120369|10200016||60100
100969|10365EM||E02ET300006
100969|10365FM||E02ET300006
100816|104-IP100-M3/TR232||2652-OBS
100816|104-IP100-T2/TR232||2652
100171|10MHZ||90505007
100495|10MHZ||4CV01110010
100499|10MHZ||4CV01110010
100988|10MHZ||90505007
104035|10MHZ||4CV01110010
120334|10MHZ||4CV01110010
140020|10MHZ-30PF||CT00CZ010MHZ
100495|10MHZ-AT49||4CV01200010
100499|10MHZ-AT49||4CV01200010
104035|10MHZ-AT49||4CV01200010
120334|10MHZ-AT49||4CV01200010
140020|10MHZ-AT49-40º/80º30||CT00CZ10MBRE
140020|10MHZ-SMD49-40º/80º||CSTCC100MREX
110397|10N400AAJF||AN000035
100514|11,05920MHZ-HSX530G-ROHS||CR000007
100171|11,0592MHZ||90505005
100469|11,0592MHZ||EL3050002
100768|11,0592MHZ||EL3050002
100800|11,0592MHZ||39005
110448|11,0592MHZ||33401
100379|11,0592MHZ-AT49||1CR0110592
100469|11,0592MHZ-AT49||EL3050005
100768|11,0592MHZ-AT49||EL3050005
100990|11,0592MHZ-AT49||35110005
110448|11,0592MHZ-ROHS+||33401
100990|11,0592MHZ-SMD49||35190001
102524|11,0592MHZ-SMD49||6PA1105
140003|11,0592MHZ-SMD49||6PA1105
100102|115F-ACA0-R||G314064
110590|1188E-1W3-V-T+R||6223
100893|12,2880MHZ-AT49||4848
110196|12.2880MHZ-GVXO-41F-WC||364-002-003
102340|120GBSSD25/SATA/A400/K||WZ00000245
103336|1255901202||972612559012
102081|1-2EL-FS50W-WPCB||0825-1111-01
100631|12F60||D-12F60
110279|12F60||D-12F60
100714|12MHZ||J42117
102524|12MHZ||1PA0512
103605|12MHZ||A3670P2
120015|12MHZ||A3670P2
140003|12MHZ||1PA0512
100379|12MHZ-AT49||1CR0000012
101257|13,560MHZ-SMD49||12-32798-A
101182|13,560MHZ-SMD49-12PF-RETEMP||CRHC49/4H13.5612
101182|13,560MHZ-SMD49-20PF||CRHC49/4H13.56MH
120148|13,560MHZ-SMD49-20PF-ROHS||20 CCZ 006
120148|13,56875MHZ-SMD49-20PF-ROHS||20 CCZ 005
100990|13MHZ-AT49||35110007
101007|13MHZ-SMD49||18506
102524|13MHZ-SMD49||6PA1305
140003|13MHZ-SMD49||6PA1305
102451|1440433001||10428220
100572|14MHZ||200699
110459|1530-#KIT||784056.0-019
100816|15-IP600-A1/RT||1226
110415|15KP90A||2111430
100139|15MHZ-AT49||180071500
101997|15MHZ-AT49||XAT015000IK1H
110196|16.3840MHZ-GVXO-753F-VC||364-002-010
102413|160GBHD/SATA/SG||ST3160815AS
150001|160GBHD/SATA/SG||RH10L-0399-0045
101623|160GBHD2.5/SATA/HIT||211130900
100097|160GBHD2.5/SATA/WD||AA498
100816|160GBHD2.5/SATA/WD||9573
101623|160GBHD2.5/SATA/WD||211130600
110487|160GBHD2.5/SG||ES2:NNA040000001
100009|161OKIVFD-12V||6460425
110574|16MB-EDO-MARCA||16MB-EDO-RAM
100139|16MHZ||180071600
100495|16MHZ||4CV01200016
100499|16MHZ||4CV01200016
100988|16MHZ||90505011
101233|16MHZ||A3670P4
103605|16MHZ||A3670P4
104035|16MHZ||4CV01200016
110277|16MHZ||P01LT0000008
120015|16MHZ||A3670P4
120334|16MHZ||4CV01200016
100002|16MHZ-AT49||4CV01200016
100495|16MHZ-AT49||4CV01200016
100499|16MHZ-AT49||4CV01200016
100893|16MHZ-AT49||5355
100946|16MHZ-AT49||66890050
104035|16MHZ-AT49||4CV01200016
110542|16MHZ-AT49||5840
120334|16MHZ-AT49||4CV01200016
101181|16MHZ-HSX421S-12PF-30PPM||YN16M0Y0101
100139|16MHZ-HSX840GA-10PPM||180270160
100435|16MHZ-HSX840GA-10PPM||4400353
103671|1700050207||169017
103671|170009020E||169012
103671|1701090150||169013
103336|1702031803||972617020318
104185|175921156B||E2000-0778
101561|17-8041-221||PTC12005
100816|17SL500-PMM1||4497
102863|17SM-TFT-CONSUMO||38411715SM-TFT
140005|18,089583MHZ||4383
100379|18,432MHZ-AT49||1CR0018432
110490|18,432MHZ-HSX751S||14217
110436|18,432MHZ-SMD49||S641184
100562|18MHZ||6421115
110024|1N2986B||731.213.3
110500|1N3002B||7312197
100009|1N4007-T/A#||644013
100562|1N4007-T/A#||644013
100714|1N4007-T/A#||J44013
110155|1N4007-T/A#||4050
150075|1N4007-T/A#||C20301104007
100969|1N4148JANTX||001ET100103
100168|1N4148TR||94001015
100974|1N4148TR||94001015
110260|1N4958JTX||3112240020
110056|1N5819-AM#||5961B01557
110415|1N5946B||7313334
110415|1N5946B+||731334
100969|1N6058A-JANTX||007ET300011
110067|1N6621JANTX||925826621
100969|1N746A-1JANTX||001ET100104
100969|1N914UR-JANTX||001ET100020
100969|1N962B-1JANTX||001ET100105
100969|1N972B-1JANTX||001ET100106
100593|1ZUS5N9E-H3||411287/001169
100469|2,4576MHZ||EL3050003
100495|2,4576MHZ||4CV01110003
100499|2,4576MHZ||4CV01110003
100768|2,4576MHZ||EL3050003
104035|2,4576MHZ||4CV01110003
120334|2,4576MHZ||4CV01110003
102340|2019W10E06||WW00000006
102436|2019W10E06||40009306
102436|2019WS7E00-CEL-J1900||40009305
100197|2019WS7P00-EPIC-CV07||P014975
100816|2022-2342||7020
100816|2023-3002||7024
120369|202-LD004GK||BU-202
100816|2040-3302||7018
100816|2040-3342||2
100816|2040-3402||7019
100161|204-SD-01G||90500016503
100009|20MHZ||6421124
100562|20MHZ||6421124
100714|20MHZ||J421124
100774|20MHZ-AT49||0620000BP
103605|20MHZ-AT49-30PPM||A3670P20
120015|20MHZ-AT49-30PPM||A3670P20
100562|20MHZ-M||6421124
100572|20MHZ-SMD49||201682
100593|20MHZ-SMD49||793147
120406|20MHZ-SMD49||CRIS S002
100379|22,1184MHZ-AT49||1CR0221184
100858|22,1184MHZ-AT49||6520002000
101693|22,1184MHZ-AT49||6520002000
110448|22,1184MHZ-AT49||33451
100572|222203135151||4703
100572|222203136151||11336
103340|240GBSSD2.5/SATA/K||6402610130
110356|24MHZ-AT49||24MHZ
103484|24S12-12QSW-ROHS||1201311
103484|24S24-15MTW-ROHS||1021310
103484|24S24-15TCM-DIN-ROHS||1021789
103484|24S48-21FXP-ROHS||1011641
100469|2500000004||CP1334019
101279|2500000004||3004387
101883|2500000004||7203-00-00
100774|26,995MHZ-AT49||CRI26995BP
100774|27,195MHZ-AT49||CRI27195BP
110574|270-DKT-335-WCE6.0-PRO||1399990048000
110574|270-HDD-000||1399990048300
110574|270-TFT-000||1399990048100
100774|29,700MHZ-AT49||CRI29700BP
100774|29,990MHZ-AT49||CRI29990BP
110487|2CL2FK||7030247
110500|2CL2-FK||5173724
110415|2CL2FL||S0007380
101623|2EL-FS3528CW-24||80140012
101825|2EL-FS3528CW-24||466640
102202|2EL-FS3528CW-24||LIT2WSFS3528CW24
102203|2EL-FS3528R-24||VINVI00058
101825|2EL-FS3528WW-24||466641
102203|2EL-FS3528WW-24||VINVI00053
101825|2EL-FS5050RB-24||91914
100778|2GV02FN204||424090
100873|2GV08FN201||PLC54-03100
100873|2GV08FN202||M9PLC5403100
101568|2GV114FN201||463002
101568|2GV75FN231||463003
103447|2J0115-433-C109N||7100ANTC43390
101181|2J0802_NCG-051LL195-C91GST||ZANT24L0050
101181|2J0802_NCG-071LL195-C91GST||ZANT24L0070
101181|2J0802_NCG-091LL195-C91GST||ZANT24L0090
101181|2J0802_NCG-121LL195-C91GST||ZANT24L0120
101181|2J0802-050LL195-C91G||ZCBEXTANT06 OLD
101181|2J0802-050LMR195-C91G||ZCBEXTANT06 OLD
101181|2J0802-051LL195-C91G||ZCBEXTANT06
101181|2J0802-071LL195-C91G||ZCBEXTANT10
101181|2J0802-090LL195-C91G||ZCBEXTANT13 OLD
101181|2J0802-090LMR195-C91G||ZCBEXTANT13 OLD
101181|2J0802-091LL195-C91G||ZCBEXTANT13
101181|2J0802-120LL195-C91G||ZCBEXTANT15 OLD
101181|2J0802-120LMR195-C91G||ZCBEXTANT15 OLD
101181|2J0802-121LL195-C91G||ZCBEXTANT15
101181|2J0802-161LL195-C91G||ZCBEXTANT07
101181|2J0802-201LL195-C91G||ZCBEXTANT16
101181|2J0802-301LL195-C91G||ZCBEXTANT18
100197|2J120B-300RG58-C85N||P016582
100435|2J301M-250RG174-C20N||2504063
100893|2J301M-300RG174-C20N||7879
100435|2J3024M-250LL100-C20NST||2504157
100435|2J3704M-250RG174-C20N||2504063
103386|2J410B-015RG174-C109N||ESP9BLNI-56-131118
120053|2J500L-300RG174-C20N||9042017
100293|2J5104P-500RG174-C627||228487
102198|2J510PCB-030/113-UFL||9725510
100197|2J560R-300LL100-C638||P018326
101457|2J665B-050RG174-C20N_C115N||60580999000-GEN
102451|2J670B-100RG174-C20G-C20G||10435582
102451|2J670B-400GR174-C20G-C20G||10459504
100197|2J6A24B-250DACAR302-C899G||P018565
100449|2J6A41B-400LMR100-2C20N||11475-OBS
100449|2J6A41BF-400LMR100-2C20N||11475
101181|2J7401MGF-1000D302-C899GST||MEC101_1170
101181|2J7401MGF-1000LL195-C20N||MEC101_1170 OLD
100197|2J8606BGF||P018227
100197|2J866B-020RG174-C96C95C638||P013136
100139|2JF0115P-010/113-UFL-MOES||190000030
100139|2JF0215P-010/113-UFL_MOES||190000031
100197|2JM013G-010/113-UFL_MOES||P016273
101538|2JSMAMG-052R174-SMAFG||2012044
100684|2JW031-C675||2JW031-C675
102436|2JW035-C442B||40009444
101181|2JW0402-C126G-050L195-C91G||ZCBEXTANT06 OLD
101181|2JW0402-C126G-090L195-C91G||ZCBEXTANT13 OLD
101181|2JW05-C126G-050LMR195-C91G||ZCBEXTANT06 OLD
101181|2JW05-C126G-070LMR195-C91G||ZCBEXTANT10 OLD
101181|2JW05-C126G-160LMR195-C91G||ZCBEXTANT07 OLD
100969|2N2222AJANTX||001ET200008
110024|2N2484||7352061
110415|2N2484||7352061
110415|2N3054||7344248
101633|2N3738SEL||7344211
102046|2N3738SEL||7344211
110024|2N3738SEL||7344211
100969|2N4029||001ET200033
100969|2N6661-JANTX||001ET200007
110146|2SA01FN231||326125
110482|2SA01FN231||326125
101505|2SA01FN232||326126
110146|2SA01FN232||326126
101505|2SA02FN221||326124
