"name"|"parent_id"|"complete_name"|"pms"|"faes"|"arancel_id"|"logistics_cost"|"level"
"SOLUCIONES DE VISUALIZACION"|""|"SOLUCIONES DE VISUALIZACION"|""|""|""|"0"|"1"
"ILUMINACION LED"|"SOLUCIONES DE VISUALIZACION"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED"|"Aina Servent"|"Sergi Gomis"|"85414010"|"13,1"|"2"
"ILUMINACION ARDECO"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO"|"Aina Servent"|"Sergi Gomis"|"85414010"|"13,1"|"3"
"BOMBILLAS"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / BOMBILLAS"|"Aina Servent"|"Sergi Gomis"|"85437090"|"13,1"|"4"
"FAROLAS"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / FAROLAS"|"Aina Servent"|"Sergi Gomis"|"94054099"|"13,1"|"4"
"TUBOS"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / TUBOS"|"Aina Servent"|"Sergi Gomis"|"85437090"|"13,1"|"4"
"VISUALIZACION"|"SOLUCIONES DE VISUALIZACION"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION"|"Aina Servent"|"Sergi Gomis"|"84733080"|"7,35"|"2"
"MONITOR"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / MONITOR"|"Aina Servent"|"Sergi Gomis"|"84733080"|"7,35"|"3"
"OPEN FRAME"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / MONITOR"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / MONITOR / OPEN FRAME"|"Aina Servent"|"Sergi Gomis"|"85285210"|"7,35"|"4"
"FRAMED"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / MONITOR"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / MONITOR / FRAMED"|"Aina Servent"|"Sergi Gomis"|"85285210"|"7,35"|"4"
"ACCESORIO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO"|"Aina Servent"|"Sergi Gomis"|"85312095"|"7,35"|"3"
"CONTROLADORA DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CONTROLADORA DISPLAY"|"Aina Servent"|"Sergi Gomis"|"85312095"|"7,35"|"4"
"CONTROLADORA TACTIL"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CONTROLADORA TACTIL"|"Aina Servent"|"Sergi Gomis"|"85312095"|"7,35"|"4"
"CABLE DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY"|"Aina Servent"|"Sergi Gomis"|"85312095"|"7,35"|"4"
"RGB"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / RGB"|"Aina Servent"|"Sergi Gomis"|"85444290"|"7,35"|"5"
"LVDS"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / LVDS"|"Aina Servent"|"Sergi Gomis"|"85444290"|"7,35"|"5"
"VGA"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / VGA"|"Aina Servent"|"Sergi Gomis"|"85444290"|"7,35"|"5"
"HDMI"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / HDMI"|"Aina Servent"|"Sergi Gomis"|"85444290"|"7,35"|"5"
"INVERTER"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / INVERTER"|"Aina Servent"|"Rubén Pérez"|"85444290"|"7,35"|"5"
"TIRAS"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO"|"SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / TIRAS"|"Aina Servent"|"Rubén Pérez"|"85444290"|"13,1"|"4"
