default_code|name|description|sale_ok|purchase_ok|can_be_expensed|type|list_price|standard_price|barcode|categ_id|categ_parent_1|categ_parent_2|categ_parent_3|categ_parent_4|categ_parent_5|incoming_inspection|manufacturer_pref|warranty|warranty_type|lead_time|lead_time_type|rohs_regulation|manufacturer_purl|manufacturer_id|active|arancel_id|ecoraee_active|tracking|weight|intrastat_id|default_ubication|optional_product_ids|route_ids|version|uom_id|uom_po_id|invoice_policy|event_ok|customer_ids|description_sale|sale_line_warn|responsible_id|volume|produce_delay|sale_delay|hs_code|description_pickingout|description_pickingin|description_picking|intrastat_origin_country_id
36517/01879|REPARACIÓN EQUIPO||Sí|Sí|No|product|204,197046153846|132,72808|http://server7/qr-almacen/?ref=36517-01879&token=5988c0fc23cfabbff66c09cf79649a00||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|36517/01879||year|15|day|Sí||50143|No|0|No|none|0|84733080|MONO/Stock||Fabricar|1.0.2|Unidad(es)Unidad(es)order|||Sí|100001;100002|Descripción pedidos|warning|Abel Neila|10,2|12|5|111222333|Descripción albaranes entrega|Descripción albaranes recepción|Descripción albaranes internos|ES
910179-SAT|PRODUCTO SAT VENTILADOR 60x60x10 12VDC BOLAS||Sí|Sí|No|product|5,3088|3,45072|http://server7/qr-almacen/?ref=910179-SAT&token=284c47884d0fabd150b4372e5d3d908d||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|910179||year|17|day|Sí||40012|No||No|none|0||MONO/Stock||Comprar|||||||||||||||||
ACTUALIZACION CHASIS ALVIC|ACTUALIZACION CHASIS||Sí|Sí|No|product|92,6235846153846|60,20533|http://server7/qr-almacen/?ref=ACTUALIZACION CHASIS ALVIC&token=06da9386cb93429791c7b1727f1b7f17||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|ACTUALIZACION CHASIS ALVIC|2|year|22|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
ACTUALIZACION CHASIS ALVIC/R01|ACTUALIZACION CHASIS||Sí|Sí|No|product|118,264107692308|76,87167|http://server7/qr-almacen/?ref=ACTUALIZACION CHASIS ALVIC-R01&token=b8f9ef4e6f0bf2cfc5170c3c813f7900||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|ACTUALIZACION CHASIS ALVIC/R01|2|year|22|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
ADAPTADOR-MIOT-4G-FRPI|ADAPTADOR CONECTIVIDAD CELULAR 4G A RASPBERRY PI||Sí|Sí|No|product|62,3142857142857|43,62|http://server7/qr-almacen/?ref=ADAPTADOR-MIOT-4G-FRPI&token=4245c6c96dcfab4a88936eeca7ad7cb1|EQUIPOS IOT|INDUSTRIAL IOT|EQUIPOS IOT||||No|ADAPTADOR-MIOT-4G-FRPI|2|year|22|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
AJUSTES-DOCUMENTACION-NGD|AJUSTES FINALES Y DOCUMENTACION DISPOSITIVO NGD||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=AJUSTES-DOCUMENTACION-NGD&token=642057b2f1249ca34ad17624404f92c9|SERVICIOS IOT|INDUSTRIAL IOT|SERVICIOS IOT||||No|AJUSTES-DOCUMENTACION-NGD|2|year|0|day|Sí|www.embeblue.com|41422|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
AMPLIACION-HWFW-MOCHILA|DESARROLLOS HARDWARE Y FIRMWARE MOCHILA ENGIDI||Sí|Sí|No|product|450|315|http://server7/qr-almacen/?ref=AMPLIACION-HWFW-MOCHILA&token=1c4bb126ce2dc6a3546c7049de160f71|SERVICIOS IOT|INDUSTRIAL IOT|SERVICIOS IOT||||No|AMPLIACION-HWFW-MOCHILA|2|year|22|day|Sí||50143|No||No|none|0||MONO/Stock||Fabricar|||||||||||||||||
AMPLIFICADOR-AUDIO/ALVIC-SAT|PRODUCTO SAT AMPLIFICADOR DE AUDIO ALVIC||Sí|Sí|No|product|25,71385|16,714|http://server7/qr-almacen/?ref=AMPLIFICADOR-AUDIO-ALVIC-SAT&token=03f780a1e268758d37e8e831457875a5||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|AMPLIFICADOR-AUDIO/ALVIC||year|5|day|Sí||40913|No|0|No|none|0|84733080|MONO/Stock||Comprar|||||||||||||||||
AMT16003A-SAT|"PRODUCTO SAT 12.1"" touch GFG 5 hilos paso 2,54"|Embalaje: 15|Sí|Sí|No|product|148,29835|96,39393|http://server7/qr-almacen/?ref=AMT16003A-SAT&token=6e0611980fb49e15f38383c40ea8ef4e||TODAS|REPARACIONES DMA|REPARACION DMA| | |No||1|year|62|day|Sí|www.amtouch.com.tw|40465|No|0|No|none|0|84733080|MONO/Stock||Comprar|||||||||||||||||
AMT9545-00A-SAT|"PRODUCTO SAT 7"" Touch resistivo 4 hilos 1.1mm, FPC"||Sí|Sí|No|product|0|0|http://server7/qr-almacen/?ref=AMT9545-00A-SAT&token=8a3fa7e96ef9c3b4ae53da3464ac562e||TODAS|REPARACIONES DMA|REPARACION DMA| | |No|9545-00A|1|year|62|day|Sí|www.amtouch.com.tw|40465|No|0|No|none|0|84733080|MONO/Stock||Comprar|||||||||||||||||
