name|parent_id|complete_name|pms|faes|arancel_id|estimate_cost|level
SOLUCIONES DE VISUALIZACION||SOLUCIONES DE VISUALIZACION||||0|1
ILUMINACION LED|SOLUCIONES DE VISUALIZACION|SOLUCIONES DE VISUALIZACION / ILUMINACION LED|PM-ILED|FAE-9|85414010|13,1|2
ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|PM-ILED|FAE-9|85414010|13,1|3
BOMBILLAS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / BOMBILLAS|PM-ILED|FAE-9|85437090|13,1|4
FAROLAS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / FAROLAS|PM-ILED|FAE-9|94054099|13,1|4
TUBOS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / TUBOS|PM-ILED|FAE-9|85437090|13,1|4
VISUALIZACION|SOLUCIONES DE VISUALIZACION|SOLUCIONES DE VISUALIZACION / VISUALIZACION|PM-ILED|FAE-9|84733080|7,35|2
ACCESORIO|SOLUCIONES DE VISUALIZACION / VISUALIZACION|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO|PM-ILED|FAE-9|85312095|7,35|3
CONTROLADORA DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CONTROLADORA DISPLAY|PM-ILED|FAE-9|85312095|7,35|4
CONTROLADORA TACTIL|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CONTROLADORA TACTIL|PM-ILED|FAE-9|85312095|7,35|4
CABLE DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY|PM-ILED|FAE-9|85312095|7,35|4
RGB|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / RGB|PM-ILED|FAE-9|85444290|7,35|5
LVDS|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / LVDS|PM-ILED|FAE-9|85444290|7,35|5
VGA|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / VGA|PM-ILED|FAE-9|85444290|7,35|5
HDMI|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / HDMI|PM-ILED|FAE-9|85444290|7,35|5
INVERTER|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / INVERTER|PM-ILED|FAE-4|85444290|7,35|5
OTRO|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / OTRO|PM-ILED|FAE-9|85444290|7,35|5
CABLE TACTIL|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE TACTIL|PM-ILED|FAE-9|85444290|7,35|4
CIRCUITO INTEGRADO|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO|SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CIRCUITO INTEGRADO|PM-ILED|FAE-9|85423990|7,35|4
TIRAS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / TIRAS|PM-ILED|FAE-9|85423990|13,1|4
HARDWARE INDUSTRIAL||HARDWARE INDUSTRIAL||||0|1
SISTEMAS INDUSTRIALES|HARDWARE INDUSTRIAL|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES|PM-RRELATS|FAE-4||6,35|2
PLACA CPU|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU|PM-RRELATS|FAE-4||6,35|3
EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|PM-RRELATS|FAE-4||6,35|4
"1.8"""|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / 1.8"""|PM-RRELATS|FAE-4|84733080|6,35|5
"3.5"""|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / 3.5"""|PM-RRELATS|FAE-4|84733080|6,35|5
"5.25"""|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / 5.25"""|PM-RRELATS|FAE-4|84733080|6,35|5
EPIC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / EPIC|PM-RRELATS|FAE-4|84733080|6,35|5
PC-104|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / PC-104|PM-RRELATS|FAE-4|84733080|6,35|5
PCI-104|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / PCI-104|PM-RRELATS|FAE-4|84733080|6,35|5
PICO-ITX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / PICO-ITX|PM-RRELATS|FAE-4|84733080|6,35|5
