"location_id"|"product_qty"|"product_code"|"product_lot_id"
"MONO/Stock/Dotación"|"15000"|"#1N4148-T+A"|""
"MONO/Stock"|"2100"|"#DB107"|""
"MONO/Stock"|"50"|"#MB254-S"|""
"MONO/Stock"|"200"|"#MB3510"|""
"MONO/Stock/Dotación"|"650"|"#RC204"|""
"MONO/Stock"|"5000"|"#RL255-T+A"|""
"MONO/Stock/Dotación"|"600"|"#RS404L"|""
"MONO/Stock"|"400"|"#RS807"|""
"MONO/Stock"|"1000"|"#SR160-T+A"|""
"MONO/Stock"|"47"|"002-91301320A"|""
"MONO/Stock"|"3"|"1008889"|""
"MONO/Stock"|"2"|"1008890"|""
"MONO/Stock"|"96"|"10200016B"|""
"MONO/Stock"|"96"|"10226004E"|""
"MONO/Stock"|"96"|"11410026"|""
"MONO/Stock"|"2"|"120GBMSATA/MLC/K"|""
"MONO/Stock"|"266"|"120GBSSD25/SATA/A400/K"|""
"MONO/Stock/SAT"|"2"|"120GBSSD25/SATA/A400/K"|""
"DEP/Stock"|"3"|"120GBSSD25/SATA/A400/K"|""
"MONO/Stock/Restitución"|"1"|"120GBSSD25/SATA/A400/K"|""
"MONO/Stock"|"1"|"1255300203"|""
"MONO/Stock/SAT"|"1"|"1255300402"|""
"MONO/Stock"|"2"|"1255901202"|""
"MONO/Stock"|"3"|"140-REA221M1HBK1016P"|""
"MONO/Stock/Dotación"|"48"|"16GBSSD2.5/SATAIII/MLC/I"|""
"MONO/Stock"|"129"|"1700050207"|""
"MONO/Stock/SAT"|"1"|"1700050207"|""
"MONO/Stock"|"1"|"1700140510"|""
"MONO/Stock"|"297"|"1701090150"|""
"MONO/Stock/SAT"|"20"|"1701090150"|""
"MONO/Stock"|"1"|"1701200101"|""
"MONO/Stock/Dotación"|"11"|"1702031831"|""
"MONO/Stock"|"1"|"170204010A"|""
"MONO/Stock"|"30"|"1702150155"|""
"MONO/Stock"|"9"|"1702150300"|""
"MONO/Stock"|"46"|"170302010C"|""
"MONO/Stock/Dotación"|"50"|"1709050201"|""
"DEP/Stock"|"2"|"1709050201"|""
"MONO/Stock"|"14"|"1709070500"|""
"MONO/Stock"|"1"|"1709100201"|""
"MONO/Stock"|"11"|"170910020K"|""
"MONO/Stock"|"299"|"1709100254"|""
"MONO/Stock"|"10"|"175921156B"|""
"MONO/Stock"|"1"|"19800-003600-100-RS"|""
"MONO/Stock"|"2"|"1TBHD25/SATA/SGGB"|""
"MONO/Stock"|"16"|"1TBHD35/SATA/SG"|""
"MONO/Stock"|"6"|"2010-2041"|""
"MONO/Stock"|"27"|"2010-2051"|""
"MONO/Stock"|"40"|"2019W10E06"|""
"MONO/Stock"|"560"|"2033-2001"|""
"MONO/Stock"|"70"|"240GBSSD2.5/SATA/K"|""
"MONO/Stock/Dotación"|"200"|"24MHZ-AT49"|""
"MONO/Stock"|"5"|"24S24-15TCM-DIN-ROHS"|""
"MONO/Stock/Dotación"|"1"|"24S24-6HEW-ROHS"|""
"MONO/Stock"|"9000"|"2500000004"|""
"MONO/Stock"|"15"|"250GBM2/NVME/2280/K"|""
"MONO/Stock"|"5"|"250GBSSDM2/MLC/WD"|""
"MONO/Stock"|"226"|"262-3009"|""
"MONO/Stock"|"69"|"2652-3161"|""
"MONO/Stock"|"95"|"2EL-FS3528WW-24"|"070313"
"MONO/Stock/SAT"|"5580"|"2J0802-051LL195-C91G"|""
"MONO/Stock"|"200"|"2J0802-091LL195-C91G"|""
"MONO/Stock"|"240"|"2J0802-121LL195-C91G"|""
"MONO/Stock"|"400"|"2J0A02-C367G"|""
"DEP/Stock"|"2"|"2J0B04-C884G"|""
"MONO/Stock"|"1"|"2J2124-C681N"|""
"MONO/Stock"|"1187"|"2J3024M-250LL100-C20NST"|""
"MONO/Stock"|"1"|"2J433MPGF-250RG174-C20N"|""
"DEP/Stock"|"1"|"2J433MPGF-250RG174-C20N"|""
"MONO/Stock"|"2"|"2J471BG-250RG174-C20N"|""
"MONO/Stock/Dotación"|"1"|"2J474B-1000LMR100-C20N"|""
"DEP/Stock"|"1"|"2J4824P-300LMR100-C20N"|""
"MONO/Stock"|"1"|"2J4924P-250LMR195-C91N"|""
"MONO/Stock"|"5"|"2J5502P-250LMR100-C115N"|""
