product_code|partner_ref|min_quantity|create_date|create_user
#1N4007-T+A|100495|12000|2012-12-12|
#1N4148-T+A|100495|12000|2018-01-24|
#MB254-S|100631|50|2010-01-28|
#MB254-S|100631|100|2010-01-28|
120GBSSD25/SATA/A400/K|101623|30|2020-09-28|
120GBSSD25/SATA/A400/K|101623|20|2020-10-05|
120GBSSD25/SATA/A400/K|101623|0|2020-10-28|Núria Soler
120GBSSD25/SATA/A400/K|101623|0|2020-12-22|Núria Soler
120GBSSD25/SATA/A400/K|101623|20|2021-10-07|Núria Soler
120GBSSD25/SATA/A400/K|104196|1|2019-04-15|
16MHZ|120015|200|2009-03-19|
16MHZ|120015|100|2009-09-23|
1700050207|101623|40|2020-11-30|Núria Soler
1700050207|101623|8|2021-07-29|Núria Soler
1701090150|100816|80|2019-09-10|
1701090150|100816|120|2020-10-27|Núria Soler
1701090150|100816|120|2020-10-27|Núria Soler
1701090150|101623|40|2020-11-30|Núria Soler
1701090150|101623|12|2021-07-29|Núria Soler
1702150300|101623|30|2020-09-28|
170910020K|101623|30|2020-09-28|
1709100254|100816|20|2019-09-10|
1709100254|100816|30|2020-10-27|Núria Soler
1709100254|100816|30|2020-10-27|Núria Soler
1709100254|100816|80|2020-10-27|Núria Soler
1709100254|101623|20|2020-11-30|Núria Soler
1709100254|101623|4|2021-07-29|Núria Soler
175921156B|104185|10|2021-05-14|Núria Soler
240GBSSD2.5/SATA/K|102744|0|2020-04-27|
2EL-FS3528WW-24|102203|55|2013-07-25|
2EL-FS5050CW-24|101995|15|2013-05-02|
2JW035-C442B|103638|60|2018-01-29|
2JW035-C442B|103638|0|2018-01-29|
2VRD5N5M-H3|102250|35|2012-01-17|
2VRD5N5M-H3|102250|90|2013-03-04|
2VRD5N5M-H3|120388|100|2010-01-26|
2VRD5N5M-H3|120388|35|2011-02-11|
32,768KHZ|100883|1000|2012-03-13|
32,768KHZ|120015|500|2009-03-19|
32,768KHZ|120015|300|2009-11-16|
4001311046|120418|4000|2010-01-14|
4001311046|120418|10000|2010-05-26|
4MHZ-AT49-E|110356|5000|2011-07-22|
4MHZ-AT49-E|110356|4750|2012-06-20|
51872-REV01|110500|1500|2011-05-03|
8MHZ|120015|200|2009-03-19|
910179|100816|0|2016-03-31|
910179|100816|80|2019-09-10|
910179|100816|120|2020-10-27|Núria Soler
910179|100816|30|2020-10-27|Núria Soler
910179|100816|80|2020-10-27|Núria Soler
910179|101623|20|2020-11-30|Núria Soler
910179|101623|16|2021-07-29|Núria Soler
910179/MC|101623|60|2020-09-28|
A1210LUA-T|120222|1000|2011-06-03|
A1210LUA-T|120222|0|2011-07-27|
A2982SLWTR-T|120338|1000|2010-09-10|
A316RW|101623|0|2018-04-12|
A316RW/MC|101623|0|2018-04-10|
A517RW|100152|100|2009-11-06|
A517RW|100152|200|2009-11-11|
A517RW|102250|190|2012-01-17|
ACE-A622C-R10|104185|10|2021-05-14|Núria Soler
ACS756SCA-050B-PFF-T|100152|3026|2010-06-04|
ACS756SCA-050B-PFF-T|100152|3060|2010-06-17|
ALU-ANCHO|101995|25|2013-05-02|
AMPLIFICADOR-AUDIO/ALVIC|100816|4|2016-03-31|
AMPLIFICADOR-AUDIO/ALVIC|100816|20|2019-09-10|
AMPLIFICADOR-AUDIO/ALVIC|100816|30|2020-10-27|Núria Soler
AMPLIFICADOR-AUDIO/ALVIC|100816|30|2020-10-27|Núria Soler
AMPLIFICADOR-AUDIO/ALVIC|100816|80|2020-10-27|Núria Soler
AMT16003A|100816|0|2016-03-15|
AMT16003A|100816|30|2020-10-27|Núria Soler
AMT16003A|101260|15|2011-05-17|
AMT2525H|100508|0|2018-02-19|
AMT9541|101282|60|2021-07-26|David Ruiz
AMT9556|100392|1|2009-12-02|
AMT-P3011-C20|100816|0|2016-03-15|
APXW003A0X3-SRZ|101918|250|2013-06-28|
BC2ESDV-03-P|100816|50|2016-03-31|
BCEC350VM-02-P|100816|20|2016-03-31|
BCEC350VM-02-P|100816|20|2019-09-10|
BCEC350VM-02-P|100816|30|2020-10-27|Núria Soler
BCEC350VM-02-P|101623|30|2020-09-28|
BCEC350VM-02-P|101623|4|2021-07-29|Núria Soler
BCECH350RM-02-P|100816|20|2016-03-31|
BCECH350RM-02-P|100816|20|2019-09-10|
BCECH350RM-02-P|100816|30|2020-10-27|Núria Soler
BCECH350RM-02-P|101623|30|2020-09-28|
BCECH350RM-02-P|101623|4|2021-07-29|Núria Soler
BD04CGC5W0002|101826|25|2011-10-11|
BD04CGC5W0002|101826|50|2012-02-28|
BEZELWH|101765|12|2013-05-28|
BOXER-6639M-A1-1010|102744|1|2019-05-28|
BOXER-6640-A2-1010|102744|1|2020-02-19|
CABLE ALIM CP-MRS|120053|23|2013-05-30|
CABLE ALIM CP-MRS|120060|5|2010-06-17|
CABLE ALIM CP-MRS|120060|10|2011-05-24|
CABLE RS-232|120053|23|2013-05-30|
CABLE RS-232|120060|5|2010-06-17|
CABLE RS-232|120060|10|2011-05-24|
CABLE_HDMI_A_MM_1M|101623|20|2020-10-05|
CABLE-4USB/SELF|100816|80|2020-10-27|Núria Soler
CABLE-5COM/SELF|100816|80|2020-10-27|Núria Soler
CABLE-ALIM-12VDCAFUEL/3BO|100816|20|2019-09-10|
CABLE-ALIM-12VDCAFUEL/3BO|100816|30|2020-10-27|Núria Soler
CABLE-ALIM-12VDCAFUEL/3BO|100816|30|2020-10-27|Núria Soler
CABLE-ALIM-12VDCAFUEL/3BO|100816|80|2020-10-27|Núria Soler
CABLE-ALIM-12VDCAFUEL/3BO|101623|20|2020-11-30|Núria Soler
CABLE-ALIM-12VDCAFUEL/3BO|101623|4|2021-07-29|Núria Soler
CABLE-ALIM-12VDCAFUEL/4FAN|100816|20|2019-09-10|
CABLE-ALIM-12VDCAFUEL/4FAN|100816|30|2020-10-27|Núria Soler
CABLE-ALIM-12VDCAFUEL/4FAN|101623|4|2021-07-29|Núria Soler
CABLE-ALIM-PPC15/AL/V1|101623|30|2020-09-28|
CABLE-AUDIO-SPK/2BO|101623|30|2020-09-28|
CABLE-AUDIO-SPKAFUELS/2BO|100816|20|2019-09-10|
CABLE-AUDIO-SPKAFUELS/2BO|100816|30|2020-10-27|Núria Soler
CABLE-AUDIO-SPKAFUELS/2BO|100816|30|2020-10-27|Núria Soler
CABLE-AUDIO-SPKAFUELS/2BO|100816|80|2020-10-27|Núria Soler
CABLE-AUDIO-SPKAFUELS/2BO|101623|20|2020-11-30|Núria Soler
CABLE-AUDIO-SPKAFUELS/2BO|101623|4|2021-07-29|Núria Soler
CABLE-LVDS-GLOBAL-OVATION|100816|1|2016-03-22|
CABLE-LVDS-HELIX/125|100816|1|2016-03-22|
CABLE-MIC-LINOUT/AVALON/V1|101623|30|2020-09-28|
CABLE-PM6202B-GENECV05/15|100816|20|2019-09-10|
CABLE-PM6202B-GENECV05/15|100816|30|2020-10-27|Núria Soler
CABLE-PM6202B-GENECV05/15|100816|30|2020-10-27|Núria Soler
CABLE-RESET/CARD-5|100816|0|2016-03-31|
CABLE-RESET/CARD-5|100816|20|2019-09-10|
CABLE-RESET/CARD-5|100816|30|2020-10-27|Núria Soler
CABLE-RESET/CARD-5|100816|30|2020-10-27|Núria Soler
CABLE-RESET/CARD-5|100816|80|2020-10-27|Núria Soler
CABLE-SERIE/GENE|101623|90|2020-09-28|
CABLE-SERIE/GENE|104185|20|2021-05-14|Núria Soler
CABLE-TOUCH5W-PM6202B/20|100816|20|2019-09-10|
CABLE-TOUCH5W-PM6202B/20|100816|30|2020-10-27|Núria Soler
CABLE-TOUCH5W-PM6202B/20|100816|30|2020-10-27|Núria Soler
CABLE-USB-ZYT-EMBBT1/35CM|101623|30|2020-09-28|
CABLE-USB-ZYT-GENE/15CM|101623|4|2021-07-29|Núria Soler
CABLE-VGA-1M/MM|101623|0|2020-10-28|Núria Soler
CABLE-VGA-1M/MMAC|101623|0|2020-12-22|Núria Soler
CABLE-VGA-1M/MMAC|101623|20|2021-10-07|Núria Soler
CAP-ANCHO-C|101995|25|2013-05-02|
CB00000000137_R2|102488|9|2019-07-01|
CBL-PWRBTTN-EMB/2BO|101623|30|2020-09-28|
CF-115XE-R10|100027|1|2019-03-08|
C-FLASH8GB/FAST/MLC/W|100816|2|2016-03-22|
CHASIS-PPC104/SELFPRO/V3|100816|80|2020-10-27|Núria Soler
CHASIS-PPC104/WAYNE|101623|20|2020-11-30|Núria Soler
CHASIS-PPC-121CARD5-BSW|100816|30|2020-10-27|Núria Soler
CHASIS-PPC15/ALUM|101623|30|2020-09-28|
CHASIS-PPC-185/FAN|100816|20|2019-09-10|
CHASIS-PPC-185/FAN|100816|30|2020-10-27|Núria Soler
CHASIS-PPC-185/GALVA|101623|4|2021-07-29|Núria Soler
CINTA-ADHESIVA-DC/2MM|100816|0|2016-03-22|
CINTA-ADHESIVA-DC/2MM|100816|40|2019-09-10|
CINTA-ADHESIVA-DC/2MM|100816|60|2020-10-27|Núria Soler
CINTA-ADHESIVA-DC/2MM|100816|30|2020-10-27|Núria Soler
CINTA-ADHESIVA-DC/2MM|101623|60|2020-09-28|
CINTA-ADHESIVA-DC/2MM|101623|8|2021-07-29|Núria Soler
CMX589AD2|120115|1000|2012-12-20|
