name|product_code|warehouse_id|location_id|security_stock|create_date|create_user
OP/00001|#1N4007-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00002|#1N4148-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00003|#1N4933-T+A|Almacén|MONO/Stock|0|2012-12-17|
OP/00004|#1N4934-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00005|#1N4935-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00006|#1N4936-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00007|#1N5408-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00008|#BR104|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00009|#BR256-W|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00010|#BR610|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00011|#DB104-S|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00012|#DB107|Almacén|MONO/Stock|600|2017-06-01|
OP/00013|#DB107|Almacén|MONO/Stock|800|2010-03-31|
OP/00014|#FR105-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00015|#LL4148-T+R|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00016|#MB10S|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00017|#MB156-W|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00018|#MB2510|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00019|#MB2510-W|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00020|#MB254-S|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00021|#MB254-W|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00022|#MB3510|Almacén|MONO/Stock|0|2009-03-06|
OP/00023|#MB358-S|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00024|#R1500F|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/00025|#R5000-T+A|Almacén|MONO/Stock|0|2021-12-04|OdooBot
